Rk,School,Conf,AP_Rank,Overall_W,Overall_L,SRS_OSRS,SRS_DSRS,SRS_SRS,Scoring_Off,Scoring_Def,Passing_Off,Passing_Def,Rushing_Off,Rushing_Def,Total_Off,Total_Def,WinPct,MOV,Season,Team,Points_For,Points_Against,Total_Wins,PregameElo_Mean,PregameElo_Start,PostgameElo_End,Excitement,Elo_Delta,AP_Pre,AP_High,ConfStrengthDiff,PollRankGap,SOS
99,Tulane,American (West),,4,8,-5.62,-0.92,-6.54,38.06,14.65,6.92,5.48,6.03,3.33,6.14,4.45,0.3333333333333333,23.410000000000004,2016,Tulane,289.0,332.0,4,1211.6363636363637,1227.0,1242.0,4.278703063333333,15.0,,,-0.20800000000000002,,-2.21
100,Miami (OH),MAC (East),,6,7,-6.06,-0.73,-6.79,33.83,14.54,9.64,5.61,4.93,2.97,6.79,4.23,0.46153846153846156,19.29,2016,Miami (OH),297.0,309.0,6,1226.0833333333333,1238.0,1211.0,4.539418188923078,-27.0,,,0.288,,-5.87
101,Rutgers,Big Ten (East),,2,10,-9.42,2.45,-6.97,34.84,19.61,7.1,5.75,5.26,4.1,5.89,4.87,0.16666666666666666,15.230000000000004,2016,Rutgers,188.0,450.0,2,1203.8181818181818,1120.0,1286.0,2.713774634583333,166.0,,,-0.167,,4.95
102,Illinois,Big Ten (West),,3,9,-5.92,-1.83,-7.75,38.09,16.29,7.74,5.65,6.25,3.46,6.82,4.35,0.25,21.800000000000004,2016,Illinois,236.0,383.0,3,1357.7272727272727,1334.0,1374.0,3.4122149452499997,40.0,,,-0.027999999999999997,,3.75
103,Virginia,ACC (Coastal),,2,10,-4.34,-3.91,-8.25,38.32,17.63,7.68,6.32,5.07,3.27,6.3,4.78,0.16666666666666666,20.69,2016,Virginia,270.0,405.0,2,1463.1818181818182,1456.0,1511.0,4.381189651833333,55.0,,,-0.04200000000000001,,1.84
104,Purdue,Big Ten (West),,3,9,0.2,-9.16,-8.96,42.38,25.56,8.17,6.34,4.64,4.15,6.58,5.1,0.25,16.820000000000004,2016,Purdue,295.0,459.0,3,1225.3636363636363,1242.0,1205.0,4.074638176333333,-37.0,,,-0.139,,1.29
105,Ball State,MAC (West),,4,8,-3.5,-5.61,-9.11,37.02,20.3,7.55,6.39,6.0,3.6,6.61,5.26,0.3333333333333333,16.720000000000002,2016,Ball State,324.0,361.0,4,1263.0,1270.0,1280.0,4.88990326525,10.0,,,-0.20800000000000002,,-5.86
106,Kent State,MAC (East),,3,9,-7.19,-1.93,-9.12,32.38,17.72,7.15,5.2,5.55,3.23,6.03,4.1,0.25,14.660000000000004,2016,Kent State,247.0,344.0,3,1191.1,1216.0,1216.0,4.4684309884545454,0.0,,,0.0,,-3.2
107,Cincinnati,American (East),,4,8,-9.46,0.29,-9.17,32.76,12.41,8.53,5.65,4.86,3.19,6.6,4.22,0.3333333333333333,20.349999999999998,2016,Cincinnati,232.0,323.0,4,1418.2727272727273,1392.0,1403.0,4.85636661725,11.0,,,-0.20800000000000002,,-1.58
108,Georgia State,Sun Belt,,3,9,-8.2,-1.17,-9.37,31.71,16.88,8.24,4.4,4.25,3.51,6.25,4.15,0.25,14.830000000000002,2016,Georgia State,239.0,319.0,3,1302.2727272727273,1311.0,1292.0,4.3484318315,-19.0,,,0.0,,-3.2
109,East Carolina,American (East),,3,9,-2.71,-6.98,-9.69,42.37,22.13,9.15,6.02,5.32,4.37,7.31,5.24,0.25,20.24,2016,East Carolina,324.0,433.0,3,1424.7272727272727,1357.0,1377.0,3.662820339333333,20.0,,,-0.125,,-0.11
110,Nevada,MWC (West),,5,7,-6.49,-3.21,-9.7,33.8,18.73,8.26,6.87,5.3,4.95,6.47,5.66,0.4166666666666667,15.069999999999997,2016,Nevada,305.0,348.0,5,1333.1818181818182,1301.0,1312.0,3.8970675636363636,11.0,,,-0.04199999999999998,,-6.87
113,North Texas,CUSA (West),,5,8,-4.76,-5.57,-10.33,36.4,19.94,7.31,6.02,5.39,4.08,6.23,4.89,0.38461538461538464,16.459999999999997,2016,North Texas,322.0,424.0,5,1190.4166666666667,1258.0,1145.0,3.9847038898461538,-113.0,,,-0.010000000000000009,,-4.56
114,Bowling Green,MAC (East),,4,8,-5.14,-5.44,-10.58,36.55,26.68,7.68,7.29,5.46,3.39,6.38,5.14,0.3333333333333333,9.869999999999997,2016,Bowling Green,298.0,460.0,4,1262.7272727272727,1196.0,1184.0,4.074996038727273,-12.0,,,0.04199999999999998,,-4.08
115,Kansas,Big 12,,2,10,-9.16,-1.49,-10.65,35.94,19.08,7.98,5.16,4.69,4.02,6.33,4.38,0.16666666666666666,16.86,2016,Kansas,243.0,448.0,2,1036.6363636363637,1025.0,1022.0,2.279555058416667,-3.0,,,-0.05600000000000001,,2.52
116,Massachusetts,Ind,,2,10,-3.73,-8.21,-11.94,37.28,23.63,8.66,6.83,4.72,3.55,6.7,5.1,0.16666666666666666,13.650000000000002,2016,Massachusetts,280.0,426.0,2,1208.0,1234.0,1198.0,3.11636170975,-36.0,,,,,-1.44
118,Charlotte,CUSA (East),,4,8,-6.5,-6.01,-12.51,34.92,22.47,6.45,6.27,5.54,3.01,5.92,4.88,0.3333333333333333,12.450000000000003,2016,Charlotte,302.0,415.0,4,1001.7272727272727,932.0,932.0,4.135963629636364,0.0,,,,,-5.76
119,Florida International,CUSA (East),,4,8,-6.88,-5.94,-12.82,33.99,21.07,7.91,6.38,5.56,3.95,6.6,5.02,0.3333333333333333,12.920000000000002,2016,Florida International,288.0,418.0,4,1135.8333333333333,1087.0,1091.0,4.265244007166666,4.0,,,0.16699999999999998,,-4.74
120,New Mexico State,Sun Belt,,3,9,-4.52,-8.36,-12.88,37.2,27.6,7.7,7.17,5.63,4.16,6.49,5.55,0.25,9.600000000000001,2016,New Mexico State,298.0,466.0,3,1024.6666666666667,936.0,995.0,3.729705856,59.0,,,0.0,,-2.29
122,UTEP,CUSA (West),,4,8,-6.45,-6.88,-13.33,35.19,24.13,7.45,6.19,6.42,4.18,6.85,5.13,0.3333333333333333,11.059999999999999,2016,UTEP,316.0,419.0,4,1077.5454545454545,1033.0,1038.0,2.6297995394545457,5.0,,,-0.08300000000000002,,-7.25
123,Marshall,CUSA (East),,3,9,-9.24,-4.36,-13.59,35.06,20.51,7.71,6.72,4.51,3.46,6.07,4.94,0.25,14.55,2016,Marshall,317.0,423.0,3,1407.7272727272727,1387.0,1387.0,3.7250963325999997,0.0,,,0.0,,-4.59
124,Rice,CUSA (West),,3,9,-3.89,-9.78,-13.67,36.77,25.02,7.49,9.04,5.5,4.15,6.3,6.27,0.25,11.750000000000004,2016,Rice,303.0,448.0,3,1159.0,1107.0,1179.0,3.1542541995,72.0,,,0.0,,-4.34
125,Fresno State,MWC (West),,1,11,-12.31,-1.94,-14.26,28.43,17.8,7.58,5.54,4.11,3.6,5.63,4.48,0.08333333333333333,10.629999999999999,2016,Fresno State,212.0,371.0,1,1120.7272727272727,1104.0,1101.0,4.507378551083334,-3.0,,,-0.083,,-2.42
126,Florida Atlantic,CUSA (East),,3,9,-4.18,-10.42,-14.6,36.8,27.91,7.93,8.11,6.05,4.13,6.7,5.75,0.25,8.889999999999997,2016,Florida Atlantic,317.0,477.0,3,1162.8181818181818,1135.0,1158.0,4.549676196,23.0,,,0.0,,-5.68
127,Buffalo,MAC (East),,2,10,-11.82,-6.42,-18.24,27.8,23.84,7.31,6.62,5.45,4.08,6.19,5.11,0.16666666666666666,3.960000000000001,2016,Buffalo,198.0,388.0,2,1169.1818181818182,1055.0,1208.0,3.20444007125,153.0,,,-0.04200000000000001,,-5.57
128,Texas State,Sun Belt,,2,10,-9.6,-9.26,-18.86,30.68,31.36,7.74,6.85,3.52,4.27,5.4,5.4,0.16666666666666666,-0.6799999999999997,2016,Texas State,223.0,493.0,2,1008.3636363636364,1025.0,1032.0,2.7505106881666666,7.0,,,-0.167,,-3.36
1,Wisconsin,Big Ten (West),7.0,13,1,8.27,14.34,22.61,53.05,-3.02,10.33,4.6,6.33,2.03,7.82,3.15,0.9285714285714286,56.07,2017,Wisconsin,473.0,195.0,13,1924.642857142857,1915.0,1927.0,2.9000769959285715,12.0,9.0,3.0,0.07099999999999995,2.0,6.18
2,Georgia,SEC (East),2.0,13,2,9.97,12.5,22.47,54.24,-1.67,10.83,3.73,7.04,2.26,8.38,2.98,0.8666666666666667,55.910000000000004,2017,Georgia,531.0,246.0,13,1867.7857142857142,1960.0,1860.0,3.2169496003333338,-100.0,15.0,2.0,0.008000000000000007,13.0,7.01
3,Ohio State,Big Ten (East),5.0,12,2,9.81,12.01,21.82,60.35,-0.09,10.26,4.5,6.87,1.61,8.38,2.88,0.8571428571428571,60.440000000000005,2017,Ohio State,576.0,266.0,12,2054.6428571428573,2163.0,2057.0,2.5371737849285716,-106.0,2.0,2.0,0.03200000000000003,-3.0,7.89
4,Penn State,Big Ten (East),8.0,11,2,11.03,10.59,21.62,60.84,0.03,10.18,4.85,6.27,2.64,8.22,3.65,0.8461538461538461,60.81,2017,Penn State,534.0,214.0,11,1981.8461538461538,2007.0,1943.0,2.7921520545384615,-64.0,6.0,2.0,-0.06799999999999995,-2.0,6.31
5,Alabama,SEC (West),1.0,13,1,4.67,16.58,21.25,54.96,-4.79,10.2,3.53,6.94,1.6,8.23,2.47,0.9285714285714286,59.75,2017,Alabama,519.0,167.0,13,2188.153846153846,2279.0,2173.0,2.3663161143571427,-106.0,1.0,1.0,-0.05400000000000005,0.0,5.46
6,Clemson,ACC (Atlantic),4.0,12,2,5.99,14.63,20.62,53.09,-3.72,8.93,4.01,6.1,1.79,7.4,2.78,0.8571428571428571,56.81,2017,Clemson,466.0,190.0,12,2060.5384615384614,2063.0,2063.0,2.7925839223571427,0.0,5.0,1.0,0.018000000000000016,1.0,6.84
7,Notre Dame,Ind,11.0,10,3,10.24,9.17,19.41,55.02,3.67,8.41,4.26,7.62,2.57,7.99,3.44,0.7692307692307693,51.35,2017,Notre Dame,445.0,279.0,10,1846.7692307692307,1981.0,1809.0,3.646699747230769,-172.0,,3.0,,,8.94
8,Oklahoma,Big 12,3.0,12,2,17.63,1.42,19.05,63.82,9.01,13.37,5.71,6.95,3.49,9.88,4.42,0.8571428571428571,54.81,2017,Oklahoma,632.0,379.0,12,1964.142857142857,1921.0,1989.0,3.4515790539285716,68.0,7.0,2.0,0.03200000000000003,4.0,5.26
9,Auburn,SEC (West),10.0,10,4,5.78,12.17,17.95,50.17,-1.23,10.23,3.64,5.93,2.15,7.63,2.85,0.7142857142857143,51.4,2017,Auburn,474.0,259.0,10,1944.7692307692307,2030.0,1866.0,3.039036326,-164.0,12.0,4.0,0.16100000000000003,2.0,6.38
10,UCF,American (East),6.0,13,0,14.05,2.85,16.9,58.56,10.72,11.01,6.13,5.92,3.31,8.31,4.68,1.0,47.84,2017,UCF,627.0,329.0,13,1709.6666666666667,1718.0,1611.0,3.764542160076923,-107.0,,6.0,0.0,,-0.8
11,Washington,Pac-12 (North),16.0,10,3,5.38,10.84,16.22,51.66,0.4,10.05,4.66,5.85,2.2,7.78,3.15,0.7692307692307693,51.26,2017,Washington,471.0,209.0,10,1957.25,1952.0,1960.0,2.4501873371538463,8.0,8.0,5.0,0.009000000000000008,-8.0,1.61
14,Iowa,Big Ten (West),,8,5,5.84,8.83,14.66,50.01,1.83,8.91,4.49,5.2,3.19,6.84,3.77,0.6153846153846154,48.18,2017,Iowa,367.0,259.0,8,1691.5384615384614,1665.0,1639.0,5.008357370230769,-26.0,,25.0,-0.17099999999999999,,8.74
15,Michigan State,Big Ten (East),15.0,10,3,2.27,11.56,13.83,43.59,0.33,8.72,5.04,5.26,2.15,6.83,3.57,0.7692307692307693,43.260000000000005,2017,Michigan State,319.0,260.0,10,1619.1538461538462,1644.0,1650.0,4.246428463,6.0,,13.0,0.009000000000000008,,7.68
16,Michigan,Big Ten (East),,8,5,3.85,9.59,13.44,45.46,1.56,8.26,4.5,5.78,2.26,6.84,3.24,0.6153846153846154,43.9,2017,Michigan,328.0,245.0,8,1881.1538461538462,1816.0,1930.0,4.104852625,114.0,11.0,7.0,-0.05899999999999994,,6.98
17,Oklahoma State,Big 12,14.0,10,3,15.09,-2.0,13.09,62.48,13.1,11.29,5.84,5.85,2.98,8.65,4.19,0.7692307692307693,49.379999999999995,2017,Oklahoma State,585.0,382.0,10,1886.7692307692307,1938.0,1867.0,4.233606455307693,-71.0,10.0,6.0,-0.10199999999999998,-4.0,3.02
18,USC,Pac-12 (South),12.0,11,3,7.47,4.91,12.37,49.33,6.99,10.38,5.38,5.75,3.24,8.06,4.06,0.7857142857142857,42.339999999999996,2017,USC,456.0,366.0,11,1837.9285714285713,1823.0,1858.0,4.275439031642857,35.0,4.0,4.0,0.10299999999999998,-8.0,5.09
20,Mississippi State,SEC (West),19.0,9,4,2.48,9.37,11.85,47.94,4.23,7.87,5.21,6.29,2.53,6.99,3.56,0.6923076923076923,43.709999999999994,2017,Mississippi State,416.0,272.0,9,1744.3333333333333,1808.0,1631.0,3.658966010692308,-177.0,,16.0,-0.19199999999999995,,3.85
21,LSU,SEC (West),18.0,9,4,2.88,8.9,11.77,43.73,3.02,10.61,5.02,6.0,2.66,7.74,3.67,0.6923076923076923,40.709999999999994,2017,LSU,354.0,246.0,9,1786.9166666666667,1857.0,1737.0,3.451434550769231,-120.0,13.0,12.0,0.05800000000000005,-5.0,3.93
22,Wake Forest,ACC (Atlantic),,8,5,10.47,0.95,11.42,53.46,10.11,10.3,5.52,5.83,2.92,7.87,4.16,0.6153846153846154,43.35,2017,Wake Forest,459.0,368.0,8,1596.75,1584.0,1600.0,5.123760277461538,16.0,,,-0.11499999999999999,,6.03
23,Northwestern,Big Ten (West),17.0,10,3,2.92,8.44,11.36,47.48,3.32,8.28,5.17,5.23,2.27,6.72,3.77,0.7692307692307693,44.16,2017,Northwestern,380.0,261.0,10,1624.3846153846155,1613.0,1607.0,4.939816958846153,-6.0,,17.0,0.009000000000000008,,5.13
24,Stanford,Pac-12 (North),20.0,9,5,5.73,5.11,10.84,49.59,5.33,9.03,5.8,7.1,3.66,8.08,4.45,0.6428571428571429,44.260000000000005,2017,Stanford,453.0,318.0,9,1806.5714285714287,1768.0,1768.0,4.617042580214286,0.0,14.0,14.0,0.135,-6.0,4.92
25,Virginia Tech,ACC (Coastal),24.0,9,4,-2.54,13.1,10.56,43.23,-1.24,8.91,6.11,4.73,2.45,6.59,3.92,0.6923076923076923,44.47,2017,Virginia Tech,366.0,192.0,9,1867.1666666666667,1967.0,1852.0,3.408546568615385,-115.0,21.0,12.0,-0.06699999999999995,-3.0,2.41
26,Iowa State,Big 12,,8,5,1.93,7.84,9.77,44.64,2.08,8.91,5.39,4.47,2.85,6.84,3.9,0.6153846153846154,42.56,2017,Iowa State,380.0,272.0,8,1642.5833333333333,1700.0,1604.0,4.967743705153846,-96.0,,14.0,-0.05899999999999994,,3.85
27,Purdue,Big Ten (West),,7,6,0.93,8.82,9.74,42.83,1.24,8.47,5.62,5.52,2.19,7.07,3.77,0.5384615384615384,41.589999999999996,2017,Purdue,328.0,267.0,7,1473.076923076923,1519.0,1524.0,5.14863470125,5.0,,,-0.09400000000000003,,6.21
28,Louisville,ACC (Atlantic),,8,5,10.53,-0.85,9.67,55.79,12.18,10.1,6.5,7.61,3.13,8.85,4.5,0.6153846153846154,43.61,2017,Louisville,495.0,356.0,8,1724.8333333333333,1677.0,1710.0,3.8863820774615383,33.0,16.0,14.0,-0.11499999999999999,,3.75
29,Boston College,ACC (Atlantic),,7,6,2.09,7.3,9.39,44.99,4.33,7.74,4.68,6.06,3.72,6.73,4.01,0.5384615384615384,40.660000000000004,2017,Boston College,334.0,297.0,7,1467.3076923076924,1513.0,1334.0,4.413730446461538,-179.0,,,-0.038000000000000034,,7.08
30,Boise State,MWC (Mountain),22.0,11,3,6.86,1.8,8.67,47.53,10.4,9.59,5.24,4.88,2.61,7.15,3.77,0.7857142857142857,37.13,2017,Boise State,455.0,320.0,11,1658.857142857143,1693.0,1590.0,4.397944890071428,-103.0,,22.0,0.08899999999999997,,-0.48
31,Memphis,American (West),25.0,10,3,12.29,-3.77,8.52,55.72,16.8,9.22,5.74,6.07,3.46,7.78,4.48,0.7692307692307693,38.92,2017,Memphis,592.0,422.0,10,1678.25,1622.0,1551.0,4.697801708307693,-71.0,,16.0,0.10599999999999998,,-0.79
32,Texas,Big 12,,7,6,-0.31,8.52,8.21,43.74,1.36,8.22,5.11,4.62,2.05,6.48,3.42,0.5384615384615384,42.38,2017,Texas,383.0,276.0,7,1661.8461538461538,1680.0,1658.0,5.280504133769231,-22.0,23.0,23.0,0.018000000000000016,,3.91
33,Florida State,ACC (Atlantic),,7,6,-0.49,8.56,8.07,45.17,2.8,8.93,4.25,5.62,2.35,7.1,3.2,0.5384615384615384,42.370000000000005,2017,Florida State,362.0,276.0,7,1667.5833333333333,1584.0,1706.0,4.376794901769231,122.0,3.0,3.0,-0.16300000000000003,,5.76
34,Florida Atlantic,CUSA (East),,11,3,6.72,1.29,8.01,50.92,13.14,8.99,5.48,6.67,3.65,7.64,4.4,0.7857142857142857,37.78,2017,Florida Atlantic,568.0,318.0,11,1412.7692307692307,1513.0,1217.0,2.764584669142857,-296.0,,,0.21399999999999997,,-4.78
35,South Carolina,SEC (East),,9,4,-0.35,8.13,7.77,40.12,4.26,8.82,5.02,5.07,2.68,6.96,3.76,0.6923076923076923,35.86,2017,South Carolina,315.0,269.0,9,1532.5,1577.0,1496.0,4.343539585307692,-81.0,,,-0.06699999999999995,,3.85
36,South Florida,American (East),21.0,10,2,6.97,0.31,7.27,47.16,13.26,8.66,5.51,5.41,2.88,6.7,4.05,0.8333333333333334,33.9,2017,South Florida,459.0,282.0,10,1730.2727272727273,1784.0,1776.0,3.783025991166667,-8.0,19.0,16.0,-0.08299999999999996,-2.0,-5.56
37,Duke,ACC (Coastal),,7,6,0.46,6.77,7.23,44.07,5.0,7.44,6.0,5.26,3.09,6.28,4.14,0.5384615384615384,39.07,2017,Duke,345.0,263.0,7,1517.25,1511.0,1567.0,4.591257413692308,56.0,,,-0.16300000000000003,,3.23
38,Washington State,Pac-12 (North),,9,4,3.04,3.58,6.62,45.65,9.56,8.26,4.64,3.9,3.31,6.95,3.73,0.6923076923076923,36.089999999999996,2017,Washington State,394.0,335.0,9,1730.1666666666667,1680.0,1696.0,4.132316816769231,16.0,24.0,8.0,-0.02499999999999991,,2.39
39,Georgia Tech,ACC (Coastal),,5,6,6.17,0.21,6.38,47.73,10.48,9.66,5.26,6.69,3.6,7.34,4.33,0.45454545454545453,37.25,2017,Georgia Tech,309.0,292.0,5,1668.4,1696.0,1696.0,4.814724361909091,0.0,,,0.044999999999999984,,5.93
40,Kansas State,Big 12,,8,5,3.16,2.68,5.84,46.24,8.43,9.75,5.8,5.84,2.92,7.36,4.34,0.6153846153846154,37.81,2017,Kansas State,420.0,327.0,8,1687.75,1676.0,1722.0,4.683178748615385,46.0,20.0,18.0,-0.05899999999999994,,1.07
41,Navy,American (West),,7,6,3.06,2.63,5.69,44.07,9.35,10.98,7.33,6.2,3.19,6.9,4.95,0.5384615384615384,34.72,2017,Navy,396.0,342.0,7,1635.076923076923,1656.0,1659.0,4.475615591916667,3.0,,25.0,-0.038000000000000034,,2.69
42,Utah,Pac-12 (South),,7,6,1.1,3.97,5.07,43.12,6.98,9.14,4.39,4.71,3.14,6.87,3.6,0.5384615384615384,36.14,2017,Utah,384.0,301.0,7,1639.8333333333333,1541.0,1681.0,4.025391548384615,140.0,,20.0,-0.20500000000000002,,1.22
43,San Diego State,MWC (West),,10,3,0.24,4.81,5.05,41.46,8.52,8.42,6.02,6.28,2.76,7.08,4.07,0.7692307692307693,32.94,2017,San Diego State,400.0,263.0,10,1649.1666666666667,1718.0,1671.0,3.7165430749999997,-47.0,,19.0,-0.019000000000000017,,-3.87
44,West Virginia,Big 12,,7,6,7.77,-2.93,4.84,50.54,14.15,9.59,5.83,5.39,4.32,7.61,4.73,0.5384615384615384,36.39,2017,West Virginia,449.0,409.0,7,1680.4166666666667,1690.0,1693.0,3.8140002925384615,3.0,22.0,22.0,0.018000000000000016,,3.07
45,Indiana,Big Ten (East),,5,7,2.6,2.14,4.74,45.8,9.84,8.15,5.31,4.81,2.82,6.59,3.79,0.4166666666666667,35.959999999999994,2017,Indiana,322.0,304.0,5,1545.7272727272727,1558.0,1557.0,3.9711325501666668,-1.0,,,-0.19499999999999998,,4.9
46,Oregon,Pac-12 (North),,7,6,3.14,1.52,4.66,50.45,12.8,9.59,5.11,6.0,2.84,7.43,3.73,0.5384615384615384,37.650000000000006,2017,Oregon,468.0,377.0,7,1549.4166666666667,1459.0,1589.0,3.264823821769231,130.0,,24.0,-0.09400000000000003,,1.89
47,Fresno State,MWC (West),,10,4,-2.6,7.07,4.47,41.06,6.81,8.86,5.22,5.41,2.58,7.11,3.81,0.7142857142857143,34.25,2017,Fresno State,380.0,251.0,10,1377.923076923077,1504.0,1262.0,3.3148108481428573,-242.0,,25.0,0.16100000000000003,,-1.68
48,Missouri,SEC (East),,7,6,9.19,-4.91,4.28,54.47,19.57,11.05,6.03,6.37,3.27,8.61,4.48,0.5384615384615384,34.9,2017,Missouri,488.0,414.0,7,1460.6666666666667,1504.0,1264.0,2.9876724664615386,-240.0,,,-0.038000000000000034,,1.44
49,Toledo,MAC (West),,11,3,4.89,-1.07,3.82,46.24,15.47,10.07,6.02,5.68,4.3,7.71,4.94,0.7857142857142857,30.770000000000003,2017,Toledo,509.0,367.0,11,1624.3846153846155,1669.0,1573.0,3.285927631714286,-96.0,,,0.08899999999999997,,-5.04
50,Arizona State,Pac-12 (South),,7,6,5.76,-1.96,3.8,47.2,14.37,9.75,5.88,4.95,3.83,7.13,4.7,0.5384615384615384,32.830000000000005,2017,Arizona State,414.0,427.0,7,1455.6153846153845,1532.0,1412.0,4.825893984692308,-120.0,,,0.129,,3.72
51,Army,Ind,,10,3,1.5,2.2,3.69,43.28,10.95,6.2,6.28,6.79,4.66,6.86,5.47,0.7692307692307693,32.33,2017,Army,399.0,286.0,10,1438.75,1437.0,1440.0,4.489976638,3.0,,,,,-3.0
52,Troy,Sun Belt,,11,2,0.73,2.86,3.59,40.82,11.56,8.34,5.97,5.42,2.93,7.07,4.25,0.8461538461538461,29.259999999999998,2017,Troy,410.0,240.0,11,1499.1666666666667,1496.0,1473.0,3.6918367031666666,-23.0,,,0.029000000000000026,,-8.03
53,Minnesota,Big Ten (West),,5,7,-3.22,6.59,3.36,40.61,7.63,8.29,4.94,5.46,4.1,6.45,4.35,0.4166666666666667,32.98,2017,Minnesota,265.0,274.0,5,1615.4166666666667,1615.0,1615.0,3.5414428018333335,0.0,,,-0.19499999999999998,,4.78
54,Texas A&M,SEC (West),,7,6,6.71,-3.35,3.36,48.12,14.92,8.95,5.7,5.05,3.01,6.95,4.1,0.5384615384615384,33.199999999999996,2017,Texas A&M,425.0,399.0,7,1676.25,1701.0,1647.0,4.899352283846154,-54.0,,,-0.038000000000000034,,3.05
55,Arizona,Pac-12 (South),,7,6,12.72,-9.55,3.17,55.43,21.51,9.6,6.22,7.4,4.32,8.35,5.01,0.5384615384615384,33.92,2017,Arizona,537.0,447.0,7,1499.25,1527.0,1476.0,4.794608120846154,-51.0,,23.0,0.018000000000000016,,-0.98
56,Texas Tech,Big 12,,6,7,6.05,-3.04,3.01,50.47,14.32,9.43,5.22,5.2,3.55,7.51,4.32,0.46153846153846156,36.15,2017,Texas Tech,446.0,419.0,6,1512.3333333333333,1522.0,1571.0,4.988153489923077,49.0,,24.0,-0.129,,4.01
57,Ole Miss,SEC (West),,6,6,8.37,-5.6,2.78,48.29,20.62,10.74,5.98,5.44,4.48,8.35,4.96,0.5,27.669999999999998,2017,Ole Miss,394.0,415.0,6,1512.8181818181818,1487.0,1453.0,4.07737073175,-34.0,,,-0.125,,1.44
58,Houston,American (West),,7,5,-1.72,4.36,2.63,38.57,8.02,8.15,5.45,5.08,2.67,6.66,4.13,0.5833333333333334,30.55,2017,Houston,339.0,286.0,7,1632.6666666666667,1591.0,1669.0,5.4500206705,78.0,,,0.04200000000000004,,-0.7
59,Ohio,MAC (East),,9,4,3.93,-1.94,1.99,48.77,15.84,8.53,5.96,6.18,3.3,7.22,4.63,0.6923076923076923,32.93000000000001,2017,Ohio,508.0,315.0,9,1463.5,1494.0,1393.0,4.358397843250001,-101.0,,,-0.06699999999999995,,-6.78
60,Syracuse,ACC (Atlantic),,4,8,3.46,-1.5,1.96,46.08,15.35,8.26,6.2,5.44,3.98,6.93,4.92,0.3333333333333333,30.729999999999997,2017,Syracuse,329.0,386.0,4,1390.6363636363637,1300.0,1407.0,4.332073129166667,107.0,,,-0.08300000000000002,,5.8
61,Nebraska,Big Ten (West),,4,8,5.95,-4.43,1.52,47.12,17.81,9.27,5.89,5.08,4.62,7.42,5.13,0.3333333333333333,29.31,2017,Nebraska,309.0,437.0,4,1493.5833333333333,1483.0,1545.0,3.6843063095,62.0,,,0.0,,8.18
62,Kentucky,SEC (East),,7,6,1.35,-0.05,1.3,41.08,12.6,9.05,5.98,5.41,3.8,6.99,4.72,0.5384615384615384,28.479999999999997,2017,Kentucky,332.0,367.0,7,1479.4166666666667,1431.0,1500.0,4.7316495341538465,69.0,,,-0.038000000000000034,,2.92
64,Maryland,Big Ten (East),,4,8,3.26,-2.23,1.03,46.09,18.04,8.13,5.23,6.09,3.56,6.96,4.29,0.3333333333333333,28.050000000000004,2017,Maryland,289.0,445.0,4,1337.7272727272727,1319.0,1391.0,3.5156325195,72.0,,,-0.11100000000000002,,9.78
65,Northern Illinois,MAC (West),,8,5,-1.2,2.11,0.91,39.45,11.19,7.33,5.84,4.58,2.39,5.93,3.84,0.6153846153846154,28.260000000000005,2017,Northern Illinois,376.0,286.0,8,1518.25,1534.0,1485.0,5.128473230846154,-49.0,,,0.135,,-4.32
66,Florida,SEC (East),,4,7,-0.94,1.77,0.83,40.34,11.3,8.5,6.06,5.57,3.14,6.92,4.26,0.36363636363636365,29.040000000000003,2017,Florida,243.0,300.0,4,1625.8181818181818,1672.0,1660.0,4.541301310000001,-12.0,17.0,17.0,0.01100000000000001,,5.37
67,SMU,American (West),,7,6,8.95,-8.24,0.71,49.84,22.48,8.53,7.52,5.72,4.13,7.19,5.54,0.5384615384615384,27.360000000000003,2017,SMU,492.0,477.0,7,1438.0,1461.0,1463.0,4.494916347538462,2.0,,,-0.038000000000000034,,-0.76
68,UCLA,Pac-12 (South),,6,7,6.49,-5.85,0.64,48.38,17.68,9.96,5.23,4.73,4.57,7.79,4.62,0.46153846153846156,30.700000000000003,2017,UCLA,422.0,476.0,6,1517.3846153846155,1503.0,1542.0,5.137552231923077,39.0,,25.0,-0.018000000000000016,,4.41
70,Wyoming,MWC (Mountain),,8,5,-6.92,6.96,0.04,33.73,6.41,7.66,5.71,3.81,2.79,5.59,3.77,0.6153846153846154,27.319999999999997,2017,Wyoming,305.0,228.0,8,1424.3333333333333,1382.0,1397.0,4.1226139403076925,15.0,,,0.010000000000000009,,-4.65
71,Virginia,ACC (Coastal),,6,7,-1.39,1.33,-0.06,39.77,12.72,7.47,5.21,4.29,3.58,6.17,4.22,0.46153846153846156,27.050000000000004,2017,Virginia,293.0,369.0,6,1415.1666666666667,1376.0,1504.0,4.100503025692308,128.0,,,-0.08700000000000002,,3.55
72,California,Pac-12 (North),,5,7,-0.34,0.18,-0.16,40.91,10.94,8.1,5.84,4.23,3.14,6.38,4.16,0.4166666666666667,29.97,2017,California,333.0,341.0,5,1565.0,1582.0,1487.0,4.767419952666667,-95.0,,,-0.19499999999999998,,1.76
